,Player,CurrentSalary,UpcomingSalary,Age,Tm,G,MP,3PA,3P%,TRB,BLK,STL,AST,TOV,PTS,PER,TS%,OWS,DWS,WS,OBPM,DBPM,BPM,VORP
411,Damion Lee,842327,1762796,27,GSW,49,29.0,4.9,0.35600000000000004,4.9,0.1,1.0,2.7,1.4,12.7,12.7,0.5479999999999999,0.9,0.8,1.7,-1.5,-0.8,-2.3,-0.1
412,Khyri Thomas,838464,1663861,23,DET,8,7.6,1.8,0.35700000000000004,0.1,0.0,0.4,0.4,0.4,2.1,3.2,0.45299999999999996,-0.1,0.0,0.0,-6.1,-1.8,-7.9,-0.1
413,Marquese Chriss,758804,0,22,GSW,59,20.3,0.7,0.205,6.2,1.1,0.7,1.9,1.3,9.3,19.4,0.604,2.1,1.3,3.4,0.1,0.5,0.6,0.8
414,Juwan Morgan,746054,0,22,UTA,16,4.6,0.3,0.2,1.2,0.1,0.0,0.1,0.2,1.2,8.8,0.5589999999999999,0.0,0.1,0.1,-2.9,-0.4,-3.3,0.0
415,Gary Clark,708426,0,25,TOT,35,12.1,2.5,0.326,2.4,0.4,0.1,0.4,0.1,3.2,10.3,0.534,0.5,0.4,0.9,-1.1,-1.1,-2.2,0.0
416,TimothÃƒÂ© Luwawu-Cabarrot,654468,1824003,24,BRK,39,17.2,2.8,0.358,2.3,0.2,0.4,0.6,0.8,6.3,8.9,0.563,0.4,0.6,1.0,-3.0,-0.2,-3.2,-0.2
417,Rayjon Tucker,578573,1517981,22,UTA,14,5.6,0.4,0.0,0.9,0.0,0.1,0.1,0.2,1.4,4.5,0.44799999999999995,-0.1,0.1,0.0,-6.7,-1.2,-7.9,-0.1
418,Chris Clemons,568422,1517981,22,HOU,29,8.7,3.2,0.35100000000000003,0.8,0.2,0.2,0.8,0.6,4.9,12.6,0.546,0.1,0.2,0.2,0.4,-1.7,-1.3,0.1
419,Brandon Goodwin,522738,1701593,24,ATL,34,12.6,2.6,0.299,2.1,0.1,0.4,1.5,0.9,6.1,11.7,0.507,-0.1,0.2,0.1,-1.5,-1.3,-2.9,-0.1
420,AnÃ…Â¾ejs PaseÃ„ÂÃ…â€ iks,482144,0,24,WAS,24,16.9,0.1,0.0,4.1,0.5,0.3,0.7,0.9,6.0,11.6,0.555,0.3,0.2,0.5,-3.8,-1.6,-5.4,-0.3
421,Chris Silva,466918,1517981,23,MIA,41,7.5,0.0,0.0,2.7,0.4,0.2,0.5,0.8,2.9,17.2,0.6629999999999999,0.7,0.5,1.1,-3.4,0.9,-2.5,0.0
422,Iman Shumpert,419443,0,29,BRK,13,18.5,2.5,0.242,2.6,0.2,0.9,0.9,0.8,4.2,5.3,0.40299999999999997,-0.3,0.3,0.0,-6.4,0.8,-5.6,-0.2
423,Max Strus,415414,0,23,CHI,2,3.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,2.5,30.7,0.727,0.0,0.0,0.0,5.4,-1.0,4.4,0.0
424,Justin Robinson,395866,0,22,WAS,9,5.4,0.6,0.6,0.6,0.1,0.0,0.8,0.3,1.4,8.2,0.542,0.0,0.0,0.0,-2.6,-3.1,-5.7,0.0
425,Norvel Pelle,350189,0,26,PHI,20,8.9,0.0,0.0,3.0,1.3,0.1,0.4,0.7,2.1,11.2,0.521,-0.1,0.4,0.3,-7.1,3.1,-4.1,-0.1
426,Ky Bowman,350189,1517981,22,GSW,45,22.6,2.4,0.308,2.7,0.2,1.0,2.9,1.6,7.4,9.2,0.494,-0.6,0.6,-0.1,-4.0,-0.3,-4.3,-0.6
427,Juan Toscano-Anderson,350189,1517981,26,GSW,13,20.9,1.8,0.348,4.0,0.4,1.0,2.0,1.2,5.3,9.4,0.529,-0.1,0.2,0.2,-3.9,0.4,-3.5,-0.1
428,Stanton Kidd,250000,0,27,UTA,4,3.8,0.3,0.0,0.8,0.0,0.0,0.3,0.5,0.0,-13.7,0.0,-0.1,0.0,-0.1,-15.6,-1.3,-16.9,-0.1
429,Mychal Mulder,187782,1517981,25,GSW,7,29.1,7.4,0.308,3.3,0.1,0.3,1.1,0.7,11.0,7.8,0.5329999999999999,0.1,0.0,0.1,-3.3,-2.9,-6.1,-0.2
430,Joe Chealey,163356,0,24,CHO,4,8.3,1.0,0.0,0.0,0.0,1.0,0.3,0.5,0.5,-2.8,0.127,-0.2,0.0,-0.1,-14.3,1.7,-12.6,-0.1
431,Johnathan Williams,106181,0,24,WAS,11,12.3,0.2,0.0,3.9,0.5,0.1,0.5,0.4,3.2,14.4,0.643,0.3,0.1,0.3,-0.5,-1.3,-1.8,0.0
432,Tyler Cook,101504,0,22,CLE,11,3.2,0.0,0.0,0.9,0.0,0.1,0.1,0.1,1.7,23.8,0.752,0.2,0.0,0.2,3.0,-0.6,2.4,0.0
433,Donta Hall,101504,0,22,DET,4,12.0,0.0,0.0,3.8,0.3,0.3,0.5,0.5,1.5,7.3,0.452,0.0,0.0,0.1,-5.6,-1.4,-7.1,-0.1
434,Justin Anderson,98144,0,26,BRK,3,5.7,1.0,0.0,0.7,0.3,0.0,0.0,0.0,1.0,-3.8,0.218,-0.1,0.0,-0.1,-12.8,-2.3,-15.1,-0.1
435,Jeremy Pargo,91557,0,33,GSW,3,14.7,2.3,0.429,1.0,0.0,0.3,2.7,1.3,8.3,12.7,0.557,0.0,0.0,0.0,-2.8,-3.1,-5.9,0.0
436,Chasson Randle,91557,0,26,GSW,3,13.3,0.7,0.0,0.7,0.0,0.7,1.7,0.0,1.7,6.7,0.377,0.0,0.0,0.0,-5.9,0.1,-5.8,0.0
437,Josh Magette,81678,0,30,ORL,8,4.8,0.5,0.25,0.8,0.1,0.4,0.6,0.6,1.5,5.1,0.37799999999999995,-0.2,0.1,-0.1,-8.0,1.6,-6.4,0.0
438,Jarrod Uthoff,81678,0,26,MEM,4,3.5,1.0,0.0,0.3,0.0,0.3,0.0,0.0,1.0,-0.1,0.254,-0.1,0.0,0.0,-11.0,-2.5,-13.5,0.0
439,Dusty Hannahs,81678,0,26,MEM,2,6.5,1.5,0.667,0.5,0.0,0.0,0.0,0.0,6.0,21.3,0.607,0.0,0.0,0.0,5.2,-2.1,3.1,0.0
440,J.P. Macura,81678,0,24,CLE,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.1,-1.2,-6.3,0.0
441,Eric Mika,50752,0,25,SAC,1,19.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,6.0,14.0,0.773,0.1,0.0,0.1,-2.2,-0.9,-3.1,0.0
442,Zach Norvell,50752,0,22,TOT,5,8.2,1.6,0.375,1.2,0.0,0.4,0.6,0.6,2.0,2.6,0.402,-0.1,0.0,-0.1,-7.1,-1.2,-8.3,-0.1
443,Malik Newman,50752,0,22,CLE,1,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,-11.3,0.34700000000000003,0.0,0.0,0.0,-14.5,-11.3,-25.9,0.0
444,Marques Bolden,50752,0,21,CLE,1,3.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,19.8,0.0,0.0,0.0,0.0,-5.8,11.3,5.5,0.0
445,Paul Watson,50752,0,25,TOT,5,5.0,0.8,0.0,0.8,0.2,0.2,1.0,0.0,0.2,-0.5,0.055999999999999994,-0.1,0.0,-0.1,-8.0,0.8,-7.3,0.0
446,William Howard,50000,0,26,HOU,2,6.5,2.0,0.0,1.0,0.0,0.0,0.5,0.5,0.0,-12.7,0.0,-0.1,0.0,-0.1,-14.9,-5.7,-20.7,-0.1
