,Player,CurrentSalary,UpcomingSalary,Age,Tm,G,MP,3PA,3P%,TRB,BLK,STL,AST,TOV,PTS,PER,TS%,OWS,DWS,WS,OBPM,DBPM,BPM,VORP
17001,Buddy Hield,24431818,22477273,28,SAC,71,34.3,10.2,.391,4.7,0.4,0.9,3.6,1.8,16.6,12.8,.567,1.5,0.7,2.2,0.8,-1.6,-0.8,0.7
17002,Jaylen Brown,22991071,24830357,24,BOS,58,34.5,7.1,.397,6.0,0.6,1.2,3.4,2.7,24.7,19.9,.586,2.8,2.0,4.8,3.5,-1.0,2.5,2.3
17003,Draymond Green,22246956,24026712,30,GSW,63,31.5,2.0,.270,7.1,0.8,1.7,8.9,3.0,7.0,13.3,.530,1.2,3.4,4.6,-1.7,3.3,1.5,1.8
17004,Harrison Barnes,22215909,20284091,28,SAC,58,36.2,4.4,.391,6.6,0.2,0.7,3.5,1.6,16.1,15.4,.626,4.0,0.5,4.5,1.4,-1.6,-0.2,1.0
17005,Fred VanVleet,21250000,19675926,26,TOR,52,36.5,9.2,.366,4.2,0.7,1.7,6.3,1.8,19.6,16.8,.534,2.4,1.8,4.3,2.3,-0.1,2.2,2.0
17006,Victor Oladipo,21000000,0,28,TOT,33,32.7,7.2,.326,4.8,0.4,1.4,4.6,2.5,19.8,14.3,.512,-0.6,1.0,0.4,-0.6,-0.9,-1.5,0.1
17022,Malcolm Brogdon,20700000,21700000,28,IND,56,34.5,6.7,.388,5.3,0.3,0.9,5.9,2.1,21.2,17.9,.561,2.9,1.3,4.2,2.9,-1.4,1.5,1.7
17023,Danilo Gallinari,19500000,20475000,32,ATL,51,24.0,5.0,.406,4.1,0.2,0.6,1.5,0.8,13.3,16.3,.613,2.7,1.0,3.7,1.6,-0.8,0.9,0.9
17024,Zach LaVine,19500000,19500000,25,CHI,58,35.1,8.2,.419,5.0,0.5,0.8,4.9,3.5,27.4,21.5,.634,4.0,1.8,5.9,4.8,-1.1,3.7,2.9
17025,Gary Harris,19160714,20482143,26,TOT,39,27.7,3.6,.340,2.0,0.3,0.7,2.0,0.9,9.9,9.1,.511,0.2,0.6,0.7,-2.9,-1.8,-4.7,-0.8
17034,Jerami Grant,19047619,20000000,26,DET,54,33.9,6.1,.350,4.6,1.1,0.6,2.8,2.0,22.3,16.9,.556,1.6,1.6,3.2,2.0,-1.2,0.9,1.3
17035,Tim Hardaway Jr.,18975000,0,28,DAL,70,28.4,7.6,.391,3.3,0.2,0.4,1.8,0.9,16.6,15.7,.589,3.2,1.2,4.3,1.9,-1.8,0.1,1.1
17036,Terry Rozier,18900000,17905263,26,CHO,69,34.5,8.3,.389,4.4,0.4,1.3,4.2,1.9,20.4,17.1,.575,3.3,2.0,5.2,2.4,-0.9,1.5,2.1
17037,Julius Randle,18900000,19800000,26,NYK,71,37.6,5.5,.411,10.2,0.3,0.9,6.0,3.4,24.1,19.7,.567,3.4,4.3,7.8,3.0,0.7,3.7,3.8
17056,Aaron Gordon,18136364,16409091,25,TOT,50,27.7,3.5,.335,5.7,0.7,0.7,3.2,1.9,12.4,14.5,.547,0.7,1.2,1.9,0.2,-0.2,0.0,0.7
17065,Myles Turner,18000000,18000000,24,IND,47,31.0,4.4,.335,6.5,3.4,0.9,1.0,1.4,12.6,15.3,.599,1.1,2.2,3.3,-1.3,1.7,0.4,0.9
17066,Bogdan Bogdanović,18000000,18000000,28,ATL,44,29.7,7.6,.438,3.6,0.3,1.1,3.3,1.2,16.4,17.6,.616,2.8,1.1,3.9,3.4,0.4,3.8,1.9
17067,Goran Dragić,18000000,19440000,34,MIA,50,26.7,4.9,.373,3.4,0.2,0.7,4.4,2.4,13.4,13.0,.552,0.2,1.2,1.3,-1.2,-1.8,-3.0,-0.3
17068,Bojan Bogdanović,17850000,18700000,31,UTA,72,30.8,6.4,.390,3.9,0.1,0.6,1.9,1.8,17.0,14.0,.588,2.7,2.5,5.2,0.1,-0.9,-0.8,0.7
17069,Domantas Sabonis,17187500,18562500,24,IND,62,36.0,2.6,.321,12.0,0.5,1.2,6.7,3.4,20.3,20.6,.601,4.0,3.0,6.9,2.4,1.5,3.9,3.3
17070,Ricky Rubio,17000000,17809524,30,MIN,68,26.1,3.1,.308,3.3,0.1,1.4,6.4,1.6,8.6,13.5,.516,1.9,1.3,3.1,-2.1,-0.1,-2.2,-0.1
17071,Evan Fournier,17000000,0,28,TOT,42,30.0,6.7,.413,3.0,0.5,1.1,3.4,1.7,17.1,16.7,.598,1.8,1.0,2.8,1.2,-0.2,1.0,1.0
17080,Eric Bledsoe,16875000,18125000,31,NOP,71,29.7,5.0,.341,3.4,0.3,0.8,3.8,1.6,12.2,11.5,.533,1.1,1.3,2.3,-1.1,-1.3,-2.3,-0.2
17081,Eric Gordon,16869276,18218818,32,HOU,27,29.2,7.8,.329,2.1,0.5,0.5,2.6,1.9,17.8,14.4,.577,0.6,0.2,0.8,0.9,-1.5,-0.6,0.3
17100,Caris LeVert,16203704,17500000,26,TOT,47,31.6,5.5,.326,4.6,0.6,1.4,5.2,2.2,20.2,17.8,.531,0.9,1.5,2.4,0.3,-0.4,-0.1,0.7
17109,Joe Harris,16071429,17357143,29,BRK,69,31.0,6.4,.475,3.6,0.2,0.7,1.9,0.9,14.1,14.1,.663,4.1,1.1,5.2,1.7,-1.5,0.2,1.2
17110,James Johnson,16047100,0,33,TOT,51,20.5,2.4,.258,3.5,0.8,0.8,1.9,1.1,7.2,11.4,.510,-0.1,1.3,1.2,-2.6,1.1,-1.5,0.1
17119,Clint Capela,16000000,17103448,26,ATL,63,30.1,0.0,0,14.3,2.0,0.7,0.8,1.2,15.2,24.3,.601,4.9,3.3,8.2,2.7,-0.2,2.5,2.1
17120,Dennis Schröder,15500000,0,27,LAL,61,32.1,3.5,.335,3.5,0.2,1.1,5.8,2.7,15.4,13.8,.543,1.0,2.7,3.8,-1.1,0.0,-1.1,0.4
17121,Cody Zeller,15415730,0,28,CHO,48,20.9,0.6,.143,6.8,0.4,0.6,1.8,1.1,9.4,18.2,.599,2.1,1.1,3.3,-0.2,-0.1,-0.3,0.4
17122,Danny Green,15365854,0,33,PHI,69,28.0,6.3,.405,3.8,0.8,1.3,1.7,1.0,9.5,12.1,.582,1.6,3.1,4.6,0.2,1.2,1.5,1.7
17123,Dāvis Bertāns,15000000,16000000,28,WAS,57,25.7,7.5,.395,2.9,0.2,0.6,0.9,0.6,11.5,11.4,.620,2.1,1.0,3.1,0.4,-1.4,-1.0,0.4
